mtree_value,fold_number,feature_number,class_rate
100,1,5,0.811840628507295
100,2,5,0.811840628507295
100,3,5,0.811840628507295
100,4,5,0.811840628507295
100,5,5,0.811840628507295
100,6,5,0.811840628507295
100,7,5,0.811840628507295
100,8,5,0.811840628507295
100,9,5,0.811840628507295
100,10,5,0.811840628507295
100,1,6,0.811840628507295
100,2,6,0.811840628507295
100,3,6,0.811840628507295
100,4,6,0.811840628507295
100,5,6,0.811840628507295
100,6,6,0.811840628507295
100,7,6,0.811840628507295
100,8,6,0.811840628507295
100,9,6,0.811840628507295
100,10,6,0.811840628507295
100,1,7,0.811840628507295
100,2,7,0.811840628507295
100,3,7,0.811840628507295
100,4,7,0.811840628507295
100,5,7,0.811840628507295
100,6,7,0.811840628507295
100,7,7,0.811840628507295
100,8,7,0.811840628507295
100,9,7,0.811840628507295
100,10,7,0.811840628507295
100,1,8,0.811840628507295
100,2,8,0.811840628507295
100,3,8,0.811840628507295
100,4,8,0.811840628507295
100,5,8,0.811840628507295
100,6,8,0.811840628507295
100,7,8,0.811840628507295
100,8,8,0.811840628507295
100,9,8,0.811840628507295
100,10,8,0.811840628507295
100,1,9,0.811840628507295
100,2,9,0.811840628507295
100,3,9,0.811840628507295
100,4,9,0.811840628507295
100,5,9,0.811840628507295
100,6,9,0.811840628507295
100,7,9,0.811840628507295
100,8,9,0.811840628507295
100,9,9,0.811840628507295
100,10,9,0.811840628507295
100,1,10,0.811840628507295
100,2,10,0.811840628507295
100,3,10,0.811840628507295
100,4,10,0.811840628507295
100,5,10,0.811840628507295
100,6,10,0.811840628507295
100,7,10,0.811840628507295
100,8,10,0.811840628507295
100,9,10,0.811840628507295
100,10,10,0.811840628507295
100,1,11,0.811840628507295
100,2,11,0.811840628507295
100,3,11,0.811840628507295
100,4,11,0.811840628507295
100,5,11,0.811840628507295
100,6,11,0.811840628507295
100,7,11,0.811840628507295
100,8,11,0.811840628507295
100,9,11,0.811840628507295
100,10,11,0.811840628507295
100,1,12,0.811840628507295
100,2,12,0.811840628507295
100,3,12,0.811840628507295
100,4,12,0.811840628507295
100,5,12,0.811840628507295
100,6,12,0.811840628507295
100,7,12,0.811840628507295
100,8,12,0.811840628507295
100,9,12,0.811840628507295
100,10,12,0.811840628507295
100,1,13,0.811840628507295
100,2,13,0.811840628507295
100,3,13,0.811840628507295
100,4,13,0.811840628507295
100,5,13,0.811840628507295
100,6,13,0.811840628507295
100,7,13,0.811840628507295
100,8,13,0.811840628507295
100,9,13,0.811840628507295
100,10,13,0.811840628507295
100,1,14,0.811840628507295
100,2,14,0.811840628507295
100,3,14,0.811840628507295
100,4,14,0.811840628507295
100,5,14,0.811840628507295
100,6,14,0.811840628507295
100,7,14,0.811840628507295
100,8,14,0.811840628507295
100,9,14,0.811840628507295
100,10,14,0.811840628507295
100,1,15,0.811840628507295
100,2,15,0.811840628507295
100,3,15,0.811840628507295
100,4,15,0.811840628507295
100,5,15,0.811840628507295
100,6,15,0.811840628507295
100,7,15,0.811840628507295
100,8,15,0.811840628507295
100,9,15,0.811840628507295
100,10,15,0.811840628507295
100,1,16,0.811840628507295
100,2,16,0.811840628507295
100,3,16,0.811840628507295
100,4,16,0.811840628507295
100,5,16,0.811840628507295
100,6,16,0.811840628507295
100,7,16,0.811840628507295
100,8,16,0.811840628507295
100,9,16,0.811840628507295
100,10,16,0.811840628507295
100,1,17,0.811840628507295
100,2,17,0.811840628507295
100,3,17,0.811840628507295
100,4,17,0.811840628507295
100,5,17,0.811840628507295
100,6,17,0.811840628507295
100,7,17,0.811840628507295
100,8,17,0.811840628507295
100,9,17,0.811840628507295
100,10,17,0.811840628507295
100,1,18,0.811840628507295
100,2,18,0.811840628507295
100,3,18,0.811840628507295
100,4,18,0.811840628507295
100,5,18,0.811840628507295
100,6,18,0.811840628507295
100,7,18,0.811840628507295
100,8,18,0.811840628507295
100,9,18,0.811840628507295
100,10,18,0.811840628507295
100,1,19,0.811840628507295
100,2,19,0.811840628507295
100,3,19,0.811840628507295
100,4,19,0.811840628507295
100,5,19,0.811840628507295
100,6,19,0.811840628507295
100,7,19,0.811840628507295
100,8,19,0.811840628507295
100,9,19,0.811840628507295
100,10,19,0.811840628507295
100,1,20,0.811840628507295
100,2,20,0.811840628507295
100,3,20,0.811840628507295
100,4,20,0.811840628507295
